Symbol,HeadNeck,Body,Extremities,PalmSole,Perinaeum
NKAIN4,0.595156281,0.352305196,0.566750784,0.562098849,5.368211585
NKAP,6.52637705,5.529022295,6.182063326,6.70605673,9.241009061
NKAPL,1.348246407,0.954101891,1.476178569,1.762049096,6.048923356
NKAPP1,1.863905373,1.858985257,1.721360854,1.679117606,6.233111346
NKD1,3.583472545,3.7838657,4.870636833,5.47733408,7.549205145
NKD2,16.78549508,24.56382302,19.43842088,14.34004076,17.95816412
NKG7,8.242801898,6.692900793,6.357927751,4.199257421,13.71265131
NKILA,1.441535306,1.504936275,1.570702708,2.069065154,5.409936645
NKIRAS1,6.698674463,5.866743525,5.877652093,6.182604655,9.392155038
NKIRAS2,23.53302911,20.08177463,17.85791245,17.53744112,19.7468865
NKPD1,21.30145495,29.89564665,20.19817262,13.76709722,36.71753042
NKRF,9.505542455,8.546928663,8.026139355,7.664454969,11.13206791
NKTR,23.81513029,19.94736519,20.95011611,18.63969184,23.95644211
NLE1,8.476293508,8.061129977,7.464545131,7.151702029,11.18886657
NLGN1,0.705791379,0.347501694,0.690158328,0.704539866,5.56854784
NLGN2,16.80683724,13.86024619,15.8151725,16.79604753,18.45116981
NLGN3,1.691101918,1.464030417,2.089914222,2.557707048,6.212107828
NLGN4X,1.637636675,1.836393551,2.344651141,2.475427236,7.062883408
NLGN4Y,0.798156998,1.079694863,1.391524769,0.828528143,7.230953585
NLK,6.959469009,6.079419427,5.513831056,5.320638276,9.561201925
NLN,6.976245659,5.22219114,4.821962056,4.652096855,8.494685683
NLRC3,2.435844393,1.322260933,1.494641747,1.226257908,6.473764652
NLRC4,0.885324446,0.581248983,0.639862293,0.494624236,5.272860204
NLRC5,12.44251552,15.20385813,10.7476507,7.957185439,15.92272632
NLRP1,14.85842392,20.23068033,15.40164326,11.47285082,22.70920112
NLRP10,13.43604203,18.89575626,10.31307513,6.636549119,9.646410084
NLRP12,0.133435558,0.17305116,0.157748813,0.223358578,4.869322769
